11,"{""link"": {""en"": ""https://www.youtube.com/watch?v=MwxyrLUdcss"", ""ru"": ""https://www.youtube.com/watch?v=CjCYONMIeLE""}, ""title"": {""en"": ""RACING EXTINCTION"", ""ru"": ""Гонка на вымирание""}, ""image_id"": {""en"": ""/uploads/information_video/racing-extinction.png"", ""ru"": ""/uploads/information_video/racing-extinction.png""}, ""description"": {""en"": ""<p>Film about the destruction of the things that nature worked on for billions of years</p>"", ""ru"": ""<p>Фильм об уничтожении того, над чем природа трудилась миллиарды лет</p>""}, ""about_author"": {""en"": ""<p>Documentary Louie Psihoyos</p>"", ""ru"": ""<p>Документальный фильм Луи Сахойоса</p>""}, ""duration_time"": {""en"": ""1:28:32"", ""ru"": ""1:28:32""}}",1,2,11,2018-12-16 15:48:20,2018-12-17 01:47:59
12,"{""link"": {""en"": ""https://www.youtube.com/watch?v=eH1s9GCqPKo"", ""ru"": ""https://www.youtube.com/channel/UCPL0cnIeuItpJX5sat8s6TA""}, ""title"": {""en"": ""PLANET OCEAN"", ""ru"": ""Планета Океан""}, ""image_id"": {""en"": ""/uploads/information_video/planet-ocean.png"", ""ru"": ""/uploads/information_video/planet-ocean.png""}, ""description"": {""en"": ""<p>The film aims to show the importance of humanity learning to live in harmony with the ocean</p>"", ""ru"": ""<p>Фильм призван показать важность того, что человечество должно учиться жить в гармонии с океаном</p>""}, ""about_author"": {""en"": ""<p>French documentary released in 2012 by scenary author and director Yann Arthus-Bertrand and Michel Petey</p>"", ""ru"": ""<p>Французский документальный фильм 2012 года авторов сценария и режиссёров: Яна Артюс-Бертрана и Мишеля Пити</p>""}, ""duration_time"": {""en"": ""1:28:59"", ""ru"": ""1:28:59""}}",1,2,12,2018-12-17 18:04:45,2018-12-17 18:04:45
13,"{""link"": {""en"": ""https://www.youtube.com/watch?v=ds9NvNWRD30"", ""ru"": ""https://www.youtube.com/watch?v=ITCWhy2Ig-k""}, ""title"": {""en"": ""ILLUMINATI PLANS"", ""ru"": ""ИСКУШЕНИЕ ЦИВИЛИЗАЦИЕЙ""}, ""image_id"": {""en"": ""/uploads/information_video/illuminati-plans.png"", ""ru"": ""/uploads/information_video/iskushenie-civilizaciey.png""}, ""description"": {""en"": ""<p>NEW WORLD ORDER</p>"", ""ru"": ""<p>Можно ли строить современное общество на нравственной основе, или это утопия?</p>""}, ""about_author"": {""en"": ""<p>Daily Documentary</p>"", ""ru"": ""<p>Документальный фильм (Россия, 2013) Режиссер: Павел Инжилевский</p>""}, ""duration_time"": {""en"": ""1:15:33"", ""ru"": ""33:17""}}",1,2,13,2018-12-17 18:19:18,2018-12-17 18:21:00
14,"{""link"": {""en"": ""https://vimeo.com/40076518"", ""ru"": ""https://www.youtube.com/watch?v=9q7X8HonjzQ""}, ""title"": {""en"": ""Owned & Operated"", ""ru"": ""Порабощенные и Управляемые""}, ""image_id"": {""en"": ""/uploads/information_video/poraboshchennye-i-upravlyaemye.png"", ""ru"": ""/uploads/information_video/poraboshchennye-i-upravlyaemye.png""}, ""description"": {""en"": ""<p>The film is a mosaic of our world through the prism of the Internet</p>"", ""ru"": ""<p>Фильм представляет собой мозаику нашего Мира сквозь призму интернета</p>""}, ""about_author"": {""en"": ""<p>This movie presents us as consumers, under the control of a few privileged individuals</p>"", ""ru"": ""<p>Показывает нас, как потребителей под контролем горстки привилегированных лиц</p>""}, ""duration_time"": {""en"": ""1:46:06"", ""ru"": ""1:46:10""}}",1,2,14,2018-12-17 18:27:12,2018-12-17 18:27:12
15,"{""link"": {""en"": ""https://www.youtube.com/watch?v=9GorqroigqM"", ""ru"": ""https://www.youtube.com/watch?v=GxztA0lpDf8""}, ""title"": {""en"": ""The Story of Stuff"", ""ru"": ""История вещей""}, ""image_id"": {""en"": ""/uploads/information_video/stuff.png"", ""ru"": ""/uploads/information_video/stuff.png""}, ""description"": {""en"": ""<p>20-minute movie presenting a critical point of view on the consumer society</p>"", ""ru"": ""<p>20-минутный фильм, представляющий критическую точку зрения на потребительское общество</p>""}, ""about_author"": {""en"": ""<p>Beginning with natural resources extraction, through trading, usage, and recycling, all the things in our lives have an impact on individuals and communities in different countries, although the impact itself is almost completely hidden from our eyes.</p>"", ""ru"": ""<p>Начиная с добычи природных ископаемых, через торговлю, использование и утилизацию, все вещи в нашей жизни оказывают влияние на людей и сообщества в разных странах, хотя в основном влияние скрыто от наших глаз</p>""}, ""duration_time"": {""en"": ""21:24"", ""ru"": ""22:06""}}",1,2,15,2018-12-17 18:50:28,2018-12-17 18:50:28
16,"{""link"": {""en"": ""https://www.youtube.com/watch?v=pTbIu8Zeqp0"", ""ru"": ""https://www.youtube.com/watch?v=L0PZIN0lRCU""}, ""title"": {""en"": ""ZEITGEIST"", ""ru"": ""Дух времени""}, ""image_id"": {""en"": ""/uploads/information_video/zeitgeist.png"", ""ru"": ""/uploads/information_video/zeitgeist.png""}, ""description"": {""en"": ""<p>This movie explores the issues of mass control over the people through religion, politics, media and finances</p>"", ""ru"": ""<p>В фильме поднимается вопрос массового контроля над людьми &mdash; религия, политика, масс-медиа, финансы</p>""}, ""about_author"": {""en"": ""<p>Are all things that we can see truth, or are we just unwilling to notice anything else? Is our future so bright? These are some of the questions you&rsquo;ll be left thinking about after viewing this movie</p>"", ""ru"": ""<p>Все ли, что мы видим - правда, хотим ли мы её замечать? Настолько ли светло наше будущее? Вот лишь некоторые вопросы, которые обязательно возникнут в голове после просмотра</p>""}, ""duration_time"": {""en"": ""1:50:52"", ""ru"": ""6:42:26""}}",1,2,16,2018-12-17 18:54:56,2018-12-17 18:54:56
17,"{""link"": {""en"": ""https://www.youtube.com/watch?v=9vz06QO3UkQ"", ""ru"": ""https://www.youtube.com/watch?v=TwVpfTuLdvg""}, ""title"": {""en"": ""THE INTERNET’S OWN BOY. THE STORY OF AARON SWARTS"", ""ru"": ""Интернет-мальчик: История Аарона Шварца""}, ""image_id"": {""en"": ""/uploads/information_video/the-internet-s-own-boy-the-story-of-aaron-swarts.png"", ""ru"": ""/uploads/information_video/the-internet-s-own-boy-the-story-of-aaron-swarts.png""}, ""description"": {""en"": ""<p>A film about the tragic fate of a genius</p>"", ""ru"": ""<p>Фильм о трагической судьбе гениального человека</p>""}, ""about_author"": {""en"": ""<p>Documentary by Brian Kippenberger</p>"", ""ru"": ""<p>Документальный фильм Брайана Наппенбергера</p>""}, ""duration_time"": {""en"": ""1:44:59"", ""ru"": ""1:40:15""}}",1,2,17,2018-12-17 19:00:14,2018-12-17 19:00:14
18,"{""link"": {""en"": ""https://www.youtube.com/watch?v=BrlBSuuy50Y&has_verified=1"", ""ru"": ""https://www.youtube.com/watch?v=BjgxuWX1roM&t=108s&has_verified=1""}, ""title"": {""en"": ""EARTHLINGS"", ""ru"": ""Земляне""}, ""image_id"": {""en"": ""/uploads/information_video/earthlings.png"", ""ru"": ""/uploads/information_video/earthlings.png""}, ""description"": {""en"": ""<p>Shaun Monson&rsquo;s movie dedicated to the issues of cruel human behavior with animals</p>"", ""ru"": ""<p>Фильм Шона Монсона, посвященный тематике жестокого обращения человека к животным</p>""}, ""about_author"": {""en"": ""<p>This film is divided into several parts, each of which emphasizes the problems of a particular area. These areas generally focus on the selfishness and callousness of the human race, as well as the global damage created by commercial livestock farms and fisheries.</p>\r\n\r\n<p class=&quot;p-red&quot;>This film is suitable for viewing only by people with a strong mind and stable emotional balance</p>"", ""ru"": ""<p>Фильм поделен на несколько частей, каждая из которых затрагивает проблемы в той или иной области, что в целом указывает на эгоизм и бессердечность человеческого рода, а также на пагубность животноводства и рыболовства в глобальных масштабах&nbsp;</p>\r\n\r\n<p class=&quot;p-red&quot;>Этот фильм подойдет для просмотра только людям с крепкой и устойчивой нервной системой и психикой</p>""}, ""duration_time"": {""en"": ""1:35:46"", ""ru"": ""2:12:05""}}",1,2,18,2018-12-17 19:05:24,2018-12-19 19:03:49
19,"{""link"": {""en"": ""https://www.youtube.com/watch?v=6xGyKuyGhaE"", ""ru"": ""https://www.youtube.com/watch?v=9lkMqWrmCpM""}, ""title"": {""en"": ""THREE QUESTIONS: WHAT DO YOU PROPOSE?"", ""ru"": ""Три вопроса. Что предложите Вы?""}, ""image_id"": {""en"": ""/uploads/information_video/three-questions-what-do-you-propose.png"", ""ru"": ""/uploads/information_video/three-questions-what-do-you-propose.png""}, ""description"": {""en"": ""<p>Three key issues related to the development of society in a market economy</p>"", ""ru"": ""<p>Три ключевых вопроса, связанных с развитием общества в условиях рыночной экономики</p>""}, ""about_author"": {""en"": ""<p>A short video from Peter Joseph and activists of &quot;Zeitgeist&quot;</p>"", ""ru"": ""<p>Небольшой видеоролик от Питера Джозефа и активистов движения &laquo;Дух Времени&raquo;</p>""}, ""duration_time"": {""en"": ""25:23"", ""ru"": ""25:23""}}",1,2,19,2018-12-17 19:09:24,2018-12-17 19:09:24
20,"{""link"": {""en"": ""https://www.youtube.com/watch?v=O6ayb02bwp0"", ""ru"": ""https://www.youtube.com/watch?v=upUBjTXs2HI""}, ""title"": {""en"": ""AMERICA: FREEDOM TO FASCISM"", ""ru"": ""АМЕРИКА: \""ОТ СВОБОДЫ ДО ФАШИЗМА\""""}, ""image_id"": {""en"": ""/uploads/information_video/america-freedom-to-fascism.png"", ""ru"": ""/uploads/information_video/america-freedom-to-fascism.png""}, ""description"": {""en"": ""<p>How people become unwitting investors in the New World Order</p>"", ""ru"": ""<p>Как люди стали невольными инвесторами нового порядка в мире</p>""}, ""about_author"": {""en"": ""<p>Aaron Russo documentary</p>"", ""ru"": ""<p>Документальный фильм Аарона Руссо</p>""}, ""duration_time"": {""en"": ""2:26:40"", ""ru"": ""1:51:21""}}",1,2,20,2018-12-17 19:13:05,2018-12-17 19:13:05
